RELATÓRIO DE EVOLUÇÃO - Diabetes
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 47.78
AGO_25: Média de pontuação = 48.50
DEZ_25: Média de pontuação = 48.56

% de crescimento entre 2025-04 e 2025-08: 1.96%
% de crescimento entre 2025-08 e 2025-12: 0.27%

Crescimento total médio: 2.24%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  EQUIPE 05 - AZUL (INE: 0001669109): 61.06%
  ESF EQ 24 - VILA NOVA 1 (INE: 0001676458): 36.39%
  ESF EQ 17 - SAO JOSE (INE: 0000471313): 30.41%
  ESF EQ 25 - BOSQUE 2 (INE: 0000471321): 25.61%
  ESF TORORO (INE: 0001686534): 23.88%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF EQ 14 - AMARELA (INE: 0001642030): -16.57%
  ESF EQ 12 - VERDE (INE: 0001634380): -16.46%
  EQUIPE 04 - LARANJA (INE: 0001669095): -15.50%
  ESF EQ 11 - VERDE (INE: 0001668951): -13.25%
  ESF EQ 09 - LILAS (INE: 0000469483): -12.95%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 4 JARDIM II PARANOA;0000469378;ESF EQ 02 - JARDIM II;43.85;49.41;47.97;12.68;-2.91;9.4
UBS 1 SAO SEBASTIAO;0000471151;ESF EQ 19 - PRATA;48.64;49.12;52.67;0.99;7.23;8.29
UBS 1 JARDINS MANGUEIRAL;0002184478;ESF DIAMANTE;48.8;49.3;45.68;1.02;-7.34;-6.39
UBS 3 PARANOA PARQUE;0001669028;ESF EQ 19 - JATOBA;48.3;52.33;54.01;8.34;3.21;11.82
UBS 3 PARANOA PARQUE;0001669060;ESF EQ 21 - IPE;50.81;46.93;45.14;-7.64;-3.81;-11.16
UBS 1 ITAPOA;0000469491;ESF EQ 08 - LARANJA;58.06;55.55;55.83;-4.32;0.5;-3.84
UBS 19 VILA DO BOA SAO SEBASTIAO;0000471399;ESF EQ 14 - VILA DO BOA;55.38;57.82;60.65;4.41;4.89;9.52
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0000471356;ESF EQ 11 - OESTE 1;60.42;59.9;61.76;-0.86;3.11;2.22
UBS 1 PARANOA;0000469351;ESF EQ 09 - AMARELA;38.94;41.94;40.12;7.7;-4.34;3.03
UBS 1 SAO SEBASTIAO;0000471178;ESF EQ 18 - MARROM;38.63;41.49;43.86;7.4;5.71;13.54
UBS 3 ITAPOA;0001668935;ESF EQ 04;52.54;55.36;56.48;5.37;2.02;7.5
UBS 1 ITAPOA;0001469363;ESF EQ 11 - MARROM;49.29;52.33;55.19;6.17;5.47;11.97
UBS 1 ITAPOA;0000469513;ESF EQ 06 - AZUL;52.97;50.38;48.75;-4.89;-3.24;-7.97
UBS 2 QUADRA 18 PARANOA;0000469459;ESF EQ 05 - QUADRA 18;49.05;47.72;45.38;-2.71;-4.9;-7.48
UBS 1 SAO SEBASTIAO;0001669117;EQUIPE 06 AMARELA;44.76;48.97;43.35;9.41;-11.48;-3.15
UBS 3 PARANOA PARQUE;0001669036;ESF EQ 20 - JACARANDA;56.16;57.5;54.96;2.39;-4.42;-2.14
UBS 2 T R E SAO SEBASTIAO;0002458152;ESF ITAIPU;54.02;55.96;51.7;3.59;-7.61;-4.29
UBS 12 SAO JOSE SAO SEBASTIAO;0000471313;ESF EQ 17 - SAO JOSE;37.42;43.13;48.8;15.26;13.15;30.41
UBS 1 ITAPOA;0000469483;ESF EQ 09 - LILAS;54.44;53.39;47.39;-1.93;-11.24;-12.95
UBS 3 PARANOA PARQUE;0001669079;ESF EQ 22 - JEQUITIBA;58.55;55.65;56.78;-4.95;2.03;-3.02
UBS 2 QUADRA 18 PARANOA;0001642308;ESF EQ 07-SOBRADINHO DOS MELOS;42.48;46.11;47.15;8.55;2.26;10.99
UBS 1 PARANOA;0001668951;ESF EQ 11 - VERDE;36.61;36.09;31.76;-1.42;-12.0;-13.25
UBS 6 SAO FRANCISCO SAO SEBASTIAO;0000471305;ESF EQ 16 - SAO FRANCISCO;43.06;42.06;45.6;-2.32;8.42;5.9
UBS 1 JARDINS MANGUEIRAL;0002186381;ESF AMETISTA;39.28;39.3;39.94;0.05;1.63;1.68
UBS 1 PARANOA;0001668978;ESF EQ 12 - ROSA;39.86;39.05;39.42;-2.03;0.95;-1.1
UBS 7 CAFE SEM TROCO PARANOA;0000469548;ESF EQ 06 - CAFE SEM TROCO;49.82;54.26;56.94;8.91;4.94;14.29
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0000471429;ESF EQ 23 - VILA NOVA 2;44.89;44.51;46.6;-0.85;4.7;3.81
UBS 1 SAO SEBASTIAO;0001669095;EQUIPE 04 - LARANJA;36.25;31.32;30.63;-13.6;-2.2;-15.5
UBS 2 T R E SAO SEBASTIAO;0001676458;ESF EQ 24 - VILA NOVA 1;37.7;41.74;51.42;10.72;23.19;36.39
UBS 1 SAO SEBASTIAO;0001669141;EQUIPE 09 - VERDE;40.56;34.18;35.89;-15.73;5.0;-11.51
UBS 1 PARANOA;0001642227;ESF EQ 16 - LARANJA;33.7;36.29;34.56;7.69;-4.77;2.55
UBS 1 PARANOA;0001642014;ESF EQ 14 - MARROM;46.67;41.88;45.71;-10.26;9.15;-2.06
