RELATÓRIO DE EVOLUÇÃO - Taxa de exodontias
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 6.01
AGO_25: Média de pontuação = 6.56
DEZ_25: Média de pontuação = 5.68

% de crescimento entre 2025-04 e 2025-08: 40.65%
% de crescimento entre 2025-08 e 2025-12: 38.44%

Crescimento total médio: 35.58%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB LIRIO (INE: 0002062801): 1506.67%
  ESB 01 UBS 01 GUARA (INE: 0002117312): 1421.92%
  ESB 02 UBS 01 NB (INE: 0002117703): 698.95%
  ESB 01 UBS 01 NB (INE: 0002117681): 612.90%
  ESB 3 PARANOA PARQUE (INE: 0001909444): 557.23%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 02 - UBS 04 SAM (INE: 0001923870): -100.00%
  ESB 46 (INE: 0002272784): -100.00%
  1221/57 (INE: 0002170914): -100.00%
  1205/47 (INE: 0001880489): -100.00%
  ESB 03 UBS 02 GUARA (INE: 0002117479): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 1 ITAPOA;0001909991;ESB 5 ITAPOA;5.15;4.37;4.26;-15.15;-2.52;-17.28
UBS 3 PARANOA PARQUE;0001909371;ESB 2 PARANOA PARQUE;0.0;25.0;7.14;100.0;-71.44;100.0
UBS 01 VICENTE PIRES;0002064103;ESB 02 - UBS 01 VP;3.75;3.37;0.0;-10.13;-100.0;-100.0
UBS 2 CRUZEIRO;0002203138;ESB LIRIO;1.09;0.0;5.71;-100.0;100.0;423.85
UBS 1 SANTA MARIA;0001879731;0552/33;2.33;13.92;1.27;497.42;-90.88;-45.49
UBS 05 SAMAMBAIA;0001924273;ESB 01 - UBS 05 SAM;3.88;4.29;5.63;10.57;31.24;45.1
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;5.79;2.58;1.66;-55.44;-35.66;-71.33
UBS 7 GAMA;0001880934;1207/49;4.53;5.26;6.6;16.11;25.48;45.7
UBS 01 RIACHO FUNDO I;0002117878;ESB 03 UBS 01 RIACHO FUNDO I;0.0;0.0;7.22;0.0;100.0;100.0
UBS 1 CRUZEIRO;0002203103;ESB ARATICUM;2.83;0.98;2.86;-65.37;191.84;1.06
UBS 2 GAMA;0001880128;1200/42;11.11;0.0;0.0;-100.0;0.0;-100.0
UBS 9 CEILANDIA;0002272792;ESB 48;8.33;0.0;0.0;-100.0;0.0;-100.0
UBS 6 GAMA;0002452677;1238/74;16.67;1.39;20.0;-91.66;1338.85;19.98
UBS 3 PARANOA PARQUE;0001906240;ESB 1 PARANOA PARQUE;3.23;0.0;0.0;-100.0;0.0;-100.0
UBS 10 CEILANDIA;0002156288;ESB 44;7.2;4.32;6.54;-40.0;51.39;-9.17
UBS 01 GUARA;0002117339;ESB 03 UBS 01 GUARA;0.0;3.03;2.56;100.0;-15.51;100.0
UBS 8 PADDF PARANOA;0001909797;ESB PADDF;16.42;14.5;8.33;-11.69;-42.55;-49.27
UBS 01 TAGUATINGA;0001918508;ESB 03 - UBS 01 TAG;0.0;0.0;0.0;0.0;0.0;0.0
UBS 8 TORRE DE BRAZLANDIA;0002018586;ESB 6;14.47;40.0;11.21;176.43;-71.97;-22.53
UBS 08 RECANTO DAS EMAS SAO FRANCISCO;0002536943;ESB 01 - UBS 08 REC;0.0;0.0;3.28;0.0;100.0;100.0
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;8.18;9.52;17.07;16.38;79.31;108.68
UBS 4 PLANALTINA;0002062925;ESB VALERIANA;5.56;8.57;7.69;54.14;-10.27;38.31
UBS 4 PLANALTINA;0002062968;ESB MARCELA;10.59;10.0;37.5;-5.57;275.0;254.11
UBS 2 CATINGUEIRO FERCAL;0002062569;ESB BALSAMO;0.0;1.61;0.0;100.0;-100.0;0.0
UBS 02 RIACHO FUNDO I;0002117886;ESB 01 UBS 02 RIACHO FUNDO I;8.33;13.93;6.99;67.23;-49.82;-16.09
UBS 04 GUARA;0002171708;ESB 01 UBS 04 GUARA;2.61;4.05;1.98;55.17;-51.11;-24.14
UBS 01 ESTRUTURAL;0002117606;ESB 01 UBS 01 ESTRUTURAL;5.94;0.0;0.0;-100.0;0.0;-100.0
UBS 1 ASA SUL;0002203049;ESB ROSA;3.85;6.76;4.23;75.58;-37.43;9.87
UBS 12 SAMAMBAIA;0001924796;ESB 02 - UBS 12 SAM;6.25;9.79;0.0;56.64;-100.0;-100.0
UBS 7 CEILANDIA;0002018969;ESB 23;1.63;0.63;5.88;-61.35;833.33;260.74
UBS 07 SAMAMBAIA;0001924540;ESB 02 - UBS 07 SAM;5.0;8.33;12.9;66.6;54.86;158.0
UBS 04 RECANTO DAS EMAS;0001925733;ESB 03 - UBS 04 REC;4.49;1.16;0.0;-74.16;-100.0;-100.0
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0001910485;ESB BOSQUE 1 SSB;6.58;0.0;3.51;-100.0;100.0;-46.66
UBS 17 JARDIM MORUMBI PLANALTINA;0002063085;ESB JARDIM MORUMBI;2.56;0.0;8.02;-100.0;100.0;213.28
UBS 01 RIACHO FUNDO II;0002117908;ESB 03 UBS 01 RIACHO FUNDO II;5.88;0.0;0.98;-100.0;100.0;-83.33
UBS 2 SOBRADINHO;0002062658;ESB OPALA;4.05;3.06;12.28;-24.44;301.31;203.21
UBS 01 TAGUATINGA;0001918389;ESB 01 - UBS 01 TAG;10.91;5.68;1.48;-47.94;-73.94;-86.43
UBS 1 JARDINS MANGUEIRAL;0001910264;ESB 2 JARDINS MANGUEIRAL;0.0;1.03;0.0;100.0;-100.0;0.0
UBS 5 BASEVI SOBRADINHO;0002062712;ESB BASEVI;2.7;4.0;3.23;48.15;-19.25;19.63
