RELATÓRIO DE EVOLUÇÃO - 1ª Consulta Odontológica
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 1.03
AGO_25: Média de pontuação = 0.88
DEZ_25: Média de pontuação = 0.59

% de crescimento entre 2025-04 e 2025-08: 21.44%
% de crescimento entre 2025-08 e 2025-12: 3.48%

Crescimento total médio: -4.12%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  0540/00 (INE: 0001879588): 927.78%
  0027/40 (INE: 0002125366): 804.55%
  ESB ERVA-DOCE (INE: 0002062836): 745.10%
  ESB 16 (INE: 0002018772): 518.18%
  ESB 30 (INE: 0002019051): 496.43%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB ALEGRIA (INE: 0002386887): -100.00%
  ESB 01 - UBS 10 REC (INE: 0001924931): -100.00%
  ESB 12 (INE: 0002018683): -100.00%
  ESB 02 - UBS 02 SAM (INE: 0001923692): -100.00%
  ESB 04 - UBS 02 TAG (INE: 0002064030): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 1 ITAPOA;0001909991;ESB 5 ITAPOA;0.49;0.12;0.69;-75.51;475.0;40.82
UBS 3 PARANOA PARQUE;0001909371;ESB 2 PARANOA PARQUE;0.0;0.0;1.71;0.0;100.0;100.0
UBS 01 VICENTE PIRES;0002064103;ESB 02 - UBS 01 VP;0.6;0.0;0.0;-100.0;0.0;-100.0
UBS 2 CRUZEIRO;0002203138;ESB LIRIO;1.85;0.0;0.71;-100.0;100.0;-61.62
UBS 1 SANTA MARIA;0001879731;0552/33;2.79;1.75;1.0;-37.28;-42.86;-64.16
UBS 05 SAMAMBAIA;0001924273;ESB 01 - UBS 05 SAM;0.25;0.36;0.64;44.0;77.78;156.0
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;1.54;0.84;0.79;-45.45;-5.95;-48.7
UBS 7 GAMA;0001880934;1207/49;0.08;0.0;0.24;-100.0;100.0;200.0
UBS 01 RIACHO FUNDO I;0002117878;ESB 03 UBS 01 RIACHO FUNDO I;0.0;0.0;0.91;0.0;100.0;100.0
UBS 1 CRUZEIRO;0002203103;ESB ARATICUM;1.71;1.84;1.03;7.6;-44.02;-39.77
UBS 2 GAMA;0001880128;1200/42;0.14;0.0;0.0;-100.0;0.0;-100.0
UBS 9 CEILANDIA;0002272792;ESB 48;0.58;0.25;0.06;-56.9;-76.0;-89.66
UBS 6 GAMA;0002452677;1238/74;0.12;0.0;0.09;-100.0;100.0;-25.0
UBS 3 PARANOA PARQUE;0001906240;ESB 1 PARANOA PARQUE;0.97;0.0;0.0;-100.0;0.0;-100.0
UBS 10 CEILANDIA;0002156288;ESB 44;1.08;1.1;0.85;1.85;-22.73;-21.3
UBS 01 GUARA;0002117339;ESB 03 UBS 01 GUARA;1.27;0.14;0.73;-88.98;421.43;-42.52
UBS 8 PADDF PARANOA;0001909797;ESB PADDF;0.3;1.67;0.29;456.67;-82.63;-3.33
UBS 01 TAGUATINGA;0001918508;ESB 03 - UBS 01 TAG;0.99;1.59;0.0;60.61;-100.0;-100.0
UBS 8 TORRE DE BRAZLANDIA;0002018586;ESB 6;1.7;0.59;0.97;-65.29;64.41;-42.94
UBS 08 RECANTO DAS EMAS SAO FRANCISCO;0002536943;ESB 01 - UBS 08 REC;0.0;0.0;0.35;0.0;100.0;100.0
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;0.59;0.2;0.21;-66.1;5.0;-64.41
UBS 4 PLANALTINA;0002062925;ESB VALERIANA;0.53;0.0;0.48;-100.0;100.0;-9.43
UBS 4 PLANALTINA;0002062968;ESB MARCELA;1.31;1.19;0.65;-9.16;-45.38;-50.38
UBS 2 CATINGUEIRO FERCAL;0002062569;ESB BALSAMO;0.61;0.71;0.21;16.39;-70.42;-65.57
UBS 02 RIACHO FUNDO I;0002117886;ESB 01 UBS 02 RIACHO FUNDO I;0.48;0.38;0.35;-20.83;-7.89;-27.08
UBS 04 GUARA;0002171708;ESB 01 UBS 04 GUARA;1.01;0.91;0.4;-9.9;-56.04;-60.4
UBS 01 ESTRUTURAL;0002117606;ESB 01 UBS 01 ESTRUTURAL;0.2;0.0;0.0;-100.0;0.0;-100.0
UBS 1 ASA SUL;0002203049;ESB ROSA;1.84;1.16;0.47;-36.96;-59.48;-74.46
UBS 12 SAMAMBAIA;0001924796;ESB 02 - UBS 12 SAM;0.0;0.51;0.13;100.0;-74.51;100.0
UBS 7 CEILANDIA;0002018969;ESB 23;1.73;1.39;0.14;-19.65;-89.93;-91.91
UBS 07 SAMAMBAIA;0001924540;ESB 02 - UBS 07 SAM;1.21;0.69;0.18;-42.98;-73.91;-85.12
UBS 04 RECANTO DAS EMAS;0001925733;ESB 03 - UBS 04 REC;1.18;0.24;0.32;-79.66;33.33;-72.88
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0001910485;ESB BOSQUE 1 SSB;0.61;0.0;0.33;-100.0;100.0;-45.9
UBS 17 JARDIM MORUMBI PLANALTINA;0002063085;ESB JARDIM MORUMBI;0.44;0.0;0.83;-100.0;100.0;88.64
UBS 01 RIACHO FUNDO II;0002117908;ESB 03 UBS 01 RIACHO FUNDO II;0.43;0.0;0.32;-100.0;100.0;-25.58
UBS 2 SOBRADINHO;0002062658;ESB OPALA;3.13;1.62;0.41;-48.24;-74.69;-86.9
UBS 01 TAGUATINGA;0001918389;ESB 01 - UBS 01 TAG;0.94;1.31;2.0;39.36;52.67;112.77
UBS 1 JARDINS MANGUEIRAL;0001910264;ESB 2 JARDINS MANGUEIRAL;0.56;0.43;0.94;-23.21;118.6;67.86
UBS 5 BASEVI SOBRADINHO;0002062712;ESB BASEVI;0.64;2.24;1.33;250.0;-40.62;107.81
UBS 03 SAMAMBAIA;0001923803;ESB 01 - UBS 03 SAM;0.73;0.11;0.26;-84.93;136.36;-64.38
UBS 02 TAGUATINGA;0002064030;ESB 04 - UBS 02 TAG;0.64;0.64;0.0;0.0;-100.0;-100.0
UBS 3 LOBEIRAL FERCAL;0002062550;ESB JERIVA;0.92;0.59;0.15;-35.87;-74.58;-83.7
UBS 2 QUADRA 18 PARANOA;0001906135;ESB QD 18 PAR;0.85;0.65;0.52;-23.53;-20.0;-38.82
UBS 04 SAMAMBAIA;0001923846;ESB 01 - UBS 04 SAM;0.0;1.12;0.0;100.0;-100.0;0.0
UBS 4 PLANALTINA;0002062933;ESB SALVIA;0.91;2.5;0.2;174.73;-92.0;-78.02
UBS 01 VICENTE PIRES;0002064111;ESB 03 - UBS 01 VP;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 VICENTE PIRES;0002536951;ESB 06 - UBS 01 VP;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 SAO SEBASTIAO;0001910221;ESB 5 SAO SEBASTIAO;0.51;0.0;1.32;-100.0;100.0;158.82
UBS 02 GUARA;0002421747;ESB 04 - UBS 02 GUARA;4.52;1.73;0.13;-61.73;-92.49;-97.12
UBS 17 CEILANDIA;0002019213;ESB 39;1.56;1.65;0.48;5.77;-70.91;-69.23
UBS 1 SOBRADINHO;0002062577;ESB ANDORINHA - SOB;1.45;2.75;0.93;89.66;-66.18;-35.86
UBS 5 PLANALTINA;0002062984;ESB TRINCA-FERRO;1.41;0.1;1.1;-92.91;1000.0;-21.99
UBS 12 CEILANDIA;0002272830;ESB 51;0.56;0.67;0.58;19.64;-13.43;3.57
UBS 10 TAQUARA PLANALTINA;0002063077;ESB TAQUARA;0.0;0.21;0.13;100.0;-38.1;100.0
UBS 03 GUARA;0002117533;ESB 02 UBS 03 GUARA;0.92;1.36;0.69;47.83;-49.26;-25.0
UBS 1 SANTA MARIA;0001879898;0555/36;0.0;0.0;0.0;0.0;0.0;0.0
UBS 4 JARDIM II PARANOA;0002452219;ESB JARDIM II;0.54;0.2;0.28;-62.96;40.0;-48.15
UBS 1 SAO SEBASTIAO;0001910302;ESB 9 SAO SEBASTIAO;0.0;0.0;0.32;0.0;100.0;100.0
UBS 01 TAGUATINGA;0001918478;ESB 02 - UBS 01 TAG;0.49;0.4;0.72;-18.37;80.0;46.94
UBS 08 SAMAMBAIA;0002064286;ESB 03 - UBS 08 SAM;0.0;0.79;1.12;100.0;41.77;100.0
UBS 16 CEILANDIA;0002272873;ESB 55;2.23;2.47;2.08;10.76;-15.79;-6.73
UBS 08 SAMAMBAIA;0001924656;ESB 01 - UBS 08 SAM;0.29;0.99;0.5;241.38;-49.49;72.41
UBS 3 ASA NORTE VILA PLANALTO;0002514117;ESB IPE BRANCO;1.53;0.7;0.0;-54.25;-100.0;-100.0
UBS 3 NOVA COLINA SOBRADINHO;0002062674;ESB FLAMBOYANT;0.59;0.4;0.0;-32.2;-100.0;-100.0
UBS 5 CHAPADINHA BRAZLANDIA;0002272784;ESB 46;1.11;0.66;0.0;-40.54;-100.0;-100.0
UBS 01 CANDANGOLANDIA;0002117797;ESB 02 UBS 01 CANDANGOLANDIA;0.14;0.0;0.08;-100.0;100.0;-42.86
UBS 1 ASA NORTE;0002203057;ESB ESTRELA;0.72;0.58;0.04;-19.44;-93.1;-94.44
UBS 11 SAMAMBAIA;0002064200;ESB 02 - UBS 11 SAM;1.31;0.0;0.51;-100.0;100.0;-61.07
UBS 1 SANTA MARIA;0001879820;0554/35;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 CEILANDIA;0002018608;ESB 8;0.33;1.32;1.63;300.0;23.48;393.94
UBS 7 BURITIZINHO SOBRADINHO II;0002062798;ESB MOSTARDA;0.84;0.12;0.0;-85.71;-100.0;-100.0
UBS 1 SAO SEBASTIAO;0001910140;ESB 2 SAO SEBASTIAO;0.96;0.16;0.7;-83.33;337.5;-27.08
UBS 5 PLANALTINA;0002063034;ESB FALCAO;5.88;4.72;1.46;-19.73;-69.07;-75.17
UBS 4 GAMA;0001880489;1205/47;0.81;0.0;0.0;-100.0;0.0;-100.0
UBS 1 PARANOA;0001905872;ESB 2 PARANOA;0.81;1.2;0.25;48.15;-79.17;-69.14
UBS 1 ASA NORTE;0002300672;ESB COMETA;0.51;0.89;0.71;74.51;-20.22;39.22
UBS 8 CEILANDIA;0002018977;ESB 24;0.0;0.27;0.86;100.0;218.52;100.0
UBS 3 NOVA COLINA SOBRADINHO;0002062690;ESB JACARANDA;0.91;1.5;0.54;64.84;-64.0;-40.66
UBS 6 CEILANDIA;0002018926;ESB 19;1.62;1.07;0.64;-33.95;-40.19;-60.49
UBS 01 ESTRUTURAL;0002117665;ESB 05 UBS 01 ESTRUTURAL;1.76;0.29;0.07;-83.52;-75.86;-96.02
UBS 02 GUARA;0002117479;ESB 03 UBS 02 GUARA;0.58;0.14;0.0;-75.86;-100.0;-100.0
UBS 11 SAMAMBAIA;0002064227;ESB 01 - UBS 11 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 SOBRADINHO;0002062623;ESB AGATA;0.47;1.14;0.13;142.55;-88.6;-72.34
UBS 5 PLANALTINA;0002062992;ESB FENIX;0.8;0.42;0.95;-47.5;126.19;18.75
UBS 01 GUARA;0002117320;ESB 02 UBS 01 GUARA;2.44;2.32;0.71;-4.92;-69.4;-70.9
UBS 12 CEILANDIA;0002272822;ESB 50;0.36;1.07;0.16;197.22;-85.05;-55.56
UBS 11 RAJADINHA PLANALTINA;0002274132;ESB RAJADINHA;3.72;1.38;1.21;-62.9;-12.32;-67.47
UBS 2 BRAZLANDIA;0002272776;ESB 45;2.3;0.58;1.32;-74.78;127.59;-42.61
UBS 12 SAMAMBAIA;0001924753;ESB 01 - UBS 12 SAM;0.2;0.48;0.0;140.0;-100.0;-100.0
UBS 10 RECANTO DAS EMAS;0001924931;ESB 01 - UBS 10 REC;0.32;1.43;0.0;346.87;-100.0;-100.0
UBS 03 RECANTO DAS EMAS;0001925393;ESB 04 - UBS 03 REC;1.03;0.0;0.19;-100.0;100.0;-81.55
UBS 01 NUCLEO BANDEIRANTE;0002117681;ESB 01 UBS 01 NB;1.77;1.55;0.74;-12.43;-52.26;-58.19
UBS 02 ESTRUTURAL;0002322129;ESB 02 UBS 02 ESTRUTURAL;1.22;0.97;0.17;-20.49;-82.47;-86.07
UBS 2 SOBRADINHO;0002062666;ESB CRISTAL;2.19;0.0;0.0;-100.0;0.0;-100.0
UBS 06 SAMAMBAIA;0001924400;ESB 01 - UBS 06 SAM;0.96;1.13;0.67;17.71;-40.71;-30.21
UBS 1 PLANALTINA;0002062887;ESB MICO-LEAO-DOURADO;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 ITAPOA;0001909851;ESB 2 ITAPOA;16.51;4.52;2.68;-72.62;-40.71;-83.77
UBS 4 ROTA DO CAVALO SOBRADINHO;0002062704;ESB HARAS DO SOL;0.66;1.06;0.0;60.61;-100.0;-100.0
UBS 20 PLANALTINA;0002422417;ESB SIGMA;0.0;1.75;0.29;100.0;-83.43;100.0
UBS 2 PLANALTINA;0002062909;ESB AZALEIA;0.0;0.86;0.0;100.0;-100.0;0.0
UBS 03 RECANTO DAS EMAS;0001925628;ESB 07 - UBS 03 REC;0.0;0.0;0.0;0.0;0.0;0.0
UBS 17 CEILANDIA;0002019191;ESB 38;0.37;0.78;0.28;110.81;-64.1;-24.32
UBS 1 SANTA MARIA;0002125366;0027/40;0.66;0.39;5.97;-40.91;1430.77;804.55
UBS 20 PLANALTINA;0002063093;ESB GAMA;0.0;0.13;0.1;100.0;-23.08;100.0
UBS 05 SAMAMBAIA;0002335646;ESB 05 - UBS 05 SAM;0.34;0.57;0.28;67.65;-50.88;-17.65
UBS 01 VICENTE PIRES;0002307367;ESB 04 - UBS 01 VP;0.84;1.94;0.43;130.95;-77.84;-48.81
UBS 16 CEILANDIA;0002272881;ESB 56;0.4;0.31;0.44;-22.5;41.94;10.0
UBS 1 GAMA;0001879979;0252/40;0.0;0.08;0.0;100.0;-100.0;0.0
UBS 2 PLANALTINA;0002062917;ESB DALIA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 PARK WAY;0002117894;ESB 01 UBS 01 PARK WAY;3.18;3.4;1.13;6.92;-66.76;-64.47
UBS 2 SANTA MARIA;0001879448;0540/20;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 SANTA MARIA;0001879693;00551/32;0.0;0.0;0.0;0.0;0.0;0.0
UBS 5 NOVA BETANIA SAO SEBASTIAO;0001910361;ESB NOVA BETANIA SSB;1.28;0.45;0.41;-64.84;-8.89;-67.97
UBS 07 TAGUATINGA;0002064065;ESB 02 - UBS 07 TAG;0.46;0.42;0.78;-8.7;85.71;69.57
UBS 4 GAMA;0002256797;1231/67;0.0;0.0;0.0;0.0;0.0;0.0
UBS 11 CEILANDIA;0002019094;ESB 32;0.0;2.86;0.39;100.0;-86.36;100.0
UBS 1 SOBRADINHO;0002062607;ESB TUCANO - SOB;0.15;0.0;0.11;-100.0;100.0;-26.67
UBS 20 PLANALTINA;0002274140;ESB OMEGA;0.22;0.0;0.0;-100.0;0.0;-100.0
UBS 13 SAO JOSE PLANALTINA;0002177013;ESB UOM;1.29;1.99;0.6;54.26;-69.85;-53.49
UBS 16 CEILANDIA;0002272865;ESB 54;0.0;0.0;0.07;0.0;100.0;100.0
UBS 03 SAMAMBAIA;0002536978;ESB 03 - UBS 03 SAM;0.0;0.0;0.96;0.0;100.0;100.0
UBS 10 CEILANDIA;0002019051;ESB 30;0.28;2.86;1.67;921.43;-41.61;496.43
UBS 01 SAMAMBAIA;0002138468;ESB 01 - UBS 01 SAM;1.29;1.71;0.22;32.56;-87.13;-82.95
UBS 12 PONTE ALTA GAMA;0001881329;1212/53;0.72;0.0;0.17;-100.0;100.0;-76.39
UBS 8 CEILANDIA;0002018993;ESB 26;0.77;0.47;0.3;-38.96;-36.17;-61.04
UBS 8 VALE DO AMANHECER PLANALTINA;0002063050;ESB UNIVERSO;1.14;1.3;0.08;14.04;-93.85;-92.98
UBS 04 SAMAMBAIA;0001923870;ESB 02 - UBS 04 SAM;0.44;1.18;0.11;168.18;-90.68;-75.0
UBS 02 GUARA;0002117452;ESB 02 UBS 02 GUARA;1.95;1.76;0.54;-9.74;-69.32;-72.31
UBS 2 CEILANDIA;0002018659;ESB 10;0.0;3.17;2.69;100.0;-15.14;100.0
UBS 11 CEILANDIA;0002019116;ESB 34;0.24;0.33;0.84;37.5;154.55;250.0
UBS 07 TAGUATINGA;0002064073;ESB 03 - UBS 07 TAG;0.17;0.59;0.46;247.06;-22.03;170.59
UBS 9 CEILANDIA;0002272814;ESB 47;0.0;0.0;0.53;0.0;100.0;100.0
UBS 8 CEILANDIA;0002018985;ESB 25;1.03;1.36;0.65;32.04;-52.21;-36.89
UBS 5 GRANJA DO TORTO;0002536269;ESB CANTINHO DA SAUDE;0.0;0.0;4.35;0.0;100.0;100.0
UBS 5 GAMA;0001880632;1206/48;0.75;1.43;0.0;90.67;-100.0;-100.0
UBS 1 ENGENHO VELHO FERCAL;0002436582;ESB JEQUITIBA;0.3;0.86;0.16;186.67;-81.4;-46.67
UBS 4 CEILANDIA;0002272857;ESB 53;0.0;0.38;0.0;100.0;-100.0;0.0
UBS 13 GAMA CASA GRANDE;0001925830;1234/70;5.15;2.36;2.1;-54.17;-11.02;-59.22
UBS 6 GAMA;0002169002;1222/58;0.37;0.62;0.38;67.57;-38.71;2.7
UBS 2 ITAPOA;0001910035;ESB 6 ITAPOA;1.21;1.05;0.55;-13.22;-47.62;-54.55
UBS 1 ASA SUL;0002203022;ESB LARANJA;0.31;1.52;0.36;390.32;-76.32;16.13
UBS 02 AGUAS CLARAS;0002064146;ESB 01 - UBS 02 AC;1.59;1.21;1.0;-23.9;-17.36;-37.11
UBS 6 CARIRU PARANOA;0001909584;ESB CARIRU;1.85;1.05;0.9;-43.24;-14.29;-51.35
UBS 04 SAMAMBAIA;0001923900;ESB 03 - UBS 04 SAM;0.53;1.23;0.39;132.08;-68.29;-26.42
UBS 7 CEILANDIA;0002018942;ESB 21;0.79;1.14;0.8;44.3;-29.82;1.27
UBS 02 NUCLEO BANDEIRANTE;0002117711;ESB 01 UBS 02 NB;0.69;0.44;0.57;-36.23;29.55;-17.39
UBS 01 ESTRUTURAL;0002117622;ESB 02 UBS 01 ESTRUTURAL;0.62;0.0;0.33;-100.0;100.0;-46.77
UBS 2 CEILANDIA;0002018667;ESB 11;0.27;0.0;0.0;-100.0;0.0;-100.0
UBS 5 CEILANDIA;0002018764;ESB 15;0.28;0.13;0.51;-53.57;292.31;82.14
UBS 1 GAMA;0002256789;1230/66;0.28;0.07;0.24;-75.0;242.86;-14.29
UBS 07 SAMAMBAIA;0002376326;ESB 06 - UBS 07 SAM;1.67;0.09;0.46;-94.61;411.11;-72.46
UBS 07 TAGUATINGA;0001923560;ESB 01 - UBS 07 TAG;0.67;0.09;0.27;-86.57;200.0;-59.7
UBS 20 PLANALTINA;0002447584;ESB DELTA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 04 RECANTO DAS EMAS;0002064375;ESB 04 - UBS 04 REC;1.14;0.16;0.08;-85.96;-50.0;-92.98
UBS 2 GAMA;0001880160;1201/43;1.4;1.09;1.77;-22.14;62.39;26.43
UBS 02 SAMAMBAIA;0002064154;ESB 03 - UBS 02 SAM;1.22;0.0;0.0;-100.0;0.0;-100.0
UBS 1 BRAZLANDIA;0002018381;ESB 2;0.55;0.34;0.63;-38.18;85.29;14.55
UBS 05 SAMAMBAIA;0002064278;ESB 04 - UBS 05 SAM;3.29;1.37;0.47;-58.36;-65.69;-85.71
UBS 01 GUARA;0002117312;ESB 01 UBS 01 GUARA;0.65;1.36;0.1;109.23;-92.65;-84.62
UBS 1 SOBRADINHO;0002428148;ESB PAVAO;4.27;1.27;0.92;-70.26;-27.56;-78.45
UBS 3 ITAPOA;0001910086;ESB 8 ITAPOA;2.04;1.12;0.69;-45.1;-38.39;-66.18
UBS 01 AGUAS CLARAS;0001918346;ESB 03 - UBS 01 AC;1.05;0.6;1.37;-42.86;128.33;30.48
UBS 02 SAMAMBAIA;0001923692;ESB 02 - UBS 02 SAM;1.63;0.41;0.0;-74.85;-100.0;-100.0
UBS 5 PLANALTINA;0002063026;ESB CORUJA - PL;1.21;0.9;0.35;-25.62;-61.11;-71.07
UBS 01 AGUAS CLARAS;0001918281;ESB 02 - UBS 01 AC;0.4;1.34;0.61;235.0;-54.48;52.5
UBS 11 SAMAMBAIA;0002064294;ESB 03 - UBS 11 SAM;2.16;1.89;0.53;-12.5;-71.96;-75.46
UBS 2 BRAZLANDIA;0002018446;ESB 3;2.16;0.96;0.83;-55.56;-13.54;-61.57
UBS 2 CEILANDIA;0002018624;ESB 9;0.36;2.03;0.45;463.89;-77.83;25.0
UBS 2 ITAPOA;0002430843;ESB ESMERALDA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 RIACHO FUNDO II;0002117916;ESB 04 UBS 01 RIACHO FUNDO II;0.0;0.42;0.45;100.0;7.14;100.0
UBS 05 RIACHO FUNDO II;0002117932;ESB 06 UBS 05 RIACHO FUNDO II;0.0;0.0;0.08;0.0;100.0;100.0
UBS 06 TAGUATINGA;0002064057;ESB 03 - UBS 06 TAG;0.53;0.35;0.24;-33.96;-31.43;-54.72
