RELATÓRIO DE EVOLUÇÃO - Pessoa Idosa
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 44.60
AGO_25: Média de pontuação = 48.42
DEZ_25: Média de pontuação = 49.31

% de crescimento entre 2025-04 e 2025-08: 8.82%
% de crescimento entre 2025-08 e 2025-12: 2.01%

Crescimento total médio: 10.98%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  EQUIPE 04 - LARANJA (INE: 0001669095): 38.92%
  ESF EQ 24 - VILA NOVA 1 (INE: 0001676458): 34.28%
  ESF EQ 03 - CAVAS DE BAIXO (INE: 0001603426): 26.83%
  ESF EQ 14 - VILA DO BOA (INE: 0000471399): 24.74%
  EQUIPE 05 - AZUL (INE: 0001669109): 23.87%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF EQ 11 - MARROM (INE: 0001469363): -18.42%
  ESF EQ 01 - PAD-DF (INE: 0000469394): -6.12%
  ESF EQ 12 - VERDE (INE: 0001634380): -0.85%
  EQUIPE 09 - VERDE (INE: 0001669141): -0.45%
  ESF ESMERALDA (INE: 0002198797): -0.21%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 4 JARDIM II PARANOA;0000469378;ESF EQ 02 - JARDIM II;40.96;45.14;44.17;10.21;-2.15;7.84
UBS 1 SAO SEBASTIAO;0000471151;ESF EQ 19 - PRATA;44.16;45.22;47.83;2.4;5.77;8.31
UBS 1 JARDINS MANGUEIRAL;0002184478;ESF DIAMANTE;41.16;47.15;46.3;14.55;-1.8;12.49
UBS 3 PARANOA PARQUE;0001669028;ESF EQ 19 - JATOBA;44.23;46.46;50.65;5.04;9.02;14.52
UBS 3 PARANOA PARQUE;0001669060;ESF EQ 21 - IPE;43.13;45.86;44.78;6.33;-2.35;3.83
UBS 1 ITAPOA;0000469491;ESF EQ 08 - LARANJA;55.47;59.29;58.15;6.89;-1.92;4.83
UBS 19 VILA DO BOA SAO SEBASTIAO;0000471399;ESF EQ 14 - VILA DO BOA;41.51;47.02;51.78;13.27;10.12;24.74
UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO;0000471356;ESF EQ 11 - OESTE 1;55.91;57.36;61.6;2.59;7.39;10.18
UBS 1 PARANOA;0000469351;ESF EQ 09 - AMARELA;43.87;50.34;51.41;14.75;2.13;17.19
UBS 1 SAO SEBASTIAO;0000471178;ESF EQ 18 - MARROM;49.36;51.99;51.45;5.33;-1.04;4.23
UBS 3 ITAPOA;0001668935;ESF EQ 04;52.99;58.65;59.73;10.68;1.84;12.72
UBS 1 ITAPOA;0001469363;ESF EQ 11 - MARROM;47.5;45.83;38.75;-3.52;-15.45;-18.42
UBS 1 ITAPOA;0000469513;ESF EQ 06 - AZUL;39.09;41.03;40.83;4.96;-0.49;4.45
UBS 2 QUADRA 18 PARANOA;0000469459;ESF EQ 05 - QUADRA 18;39.92;40.14;40.58;0.55;1.1;1.65
UBS 1 SAO SEBASTIAO;0001669117;EQUIPE 06 AMARELA;40.67;45.59;46.61;12.1;2.24;14.61
UBS 3 PARANOA PARQUE;0001669036;ESF EQ 20 - JACARANDA;50.6;56.06;57.68;10.79;2.89;13.99
UBS 2 T R E SAO SEBASTIAO;0002458152;ESF ITAIPU;41.45;49.77;50.45;20.07;1.37;21.71
UBS 12 SAO JOSE SAO SEBASTIAO;0000471313;ESF EQ 17 - SAO JOSE;39.86;43.58;48.71;9.33;11.77;22.2
