RELATÓRIO DE EVOLUÇÃO - Tratamento Odontológico concluído
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 95.78
AGO_25: Média de pontuação = 96.70
DEZ_25: Média de pontuação = 118.78

% de crescimento entre 2025-04 e 2025-08: 25.54%
% de crescimento entre 2025-08 e 2025-12: 51.94%

Crescimento total médio: 58.67%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 01 - UBS 04 REC (INE: 0001925660): 1819.85%
  ESB BALSAMO (INE: 0002062569): 1200.00%
  1212/53 (INE: 0001881329): 900.00%
  ESB 33 (INE: 0002019108): 900.00%
  ESB UOM (INE: 0002177013): 671.50%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB TUCANO - SOB (INE: 0002062607): -100.00%
  ESB 04 - UBS 02 GUARA (INE: 0002421747): -100.00%
  ESB 02 - UBS 01 VP (INE: 0002064103): -100.00%
  ESB 01 - UBS 03 REC (INE: 0001925083): -100.00%
  ESB 01 - UBS 05 TAG (INE: 0001923471): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 1 ITAPOA;0001909991;ESB 5 ITAPOA;25.0;100.0;33.33;300.0;-66.67;33.32
UBS 3 PARANOA PARQUE;0001909371;ESB 2 PARANOA PARQUE;0.0;0.0;104.55;0.0;100.0;100.0
UBS 01 VICENTE PIRES;0002064103;ESB 02 - UBS 01 VP;66.67;66.67;0.0;0.0;-100.0;-100.0
UBS 2 CRUZEIRO;0002203138;ESB LIRIO;100.0;0.0;116.67;-100.0;100.0;16.67
UBS 1 SANTA MARIA;0001879731;0552/33;125.0;100.0;120.0;-20.0;20.0;-4.0
UBS 05 SAMAMBAIA;0001924273;ESB 01 - UBS 05 SAM;250.0;433.33;116.67;73.33;-73.08;-53.33
UBS 3 PARANOA PARQUE;0002502917;ESB 4 PARANOA PARQUE;191.3;153.85;208.33;-19.58;35.41;8.9
UBS 7 GAMA;0001880934;1207/49;0.0;0.0;75.0;0.0;100.0;100.0
UBS 01 RIACHO FUNDO I;0002117878;ESB 03 UBS 01 RIACHO FUNDO I;0.0;0.0;62.5;0.0;100.0;100.0
UBS 1 CRUZEIRO;0002203103;ESB ARATICUM;133.33;130.0;150.0;-2.5;15.38;12.5
UBS 2 GAMA;0001880128;1200/42;100.0;0.0;0.0;-100.0;0.0;-100.0
UBS 9 CEILANDIA;0002272792;ESB 48;100.0;50.0;300.0;-50.0;500.0;200.0
UBS 6 GAMA;0002452677;1238/74;100.0;0.0;0.0;-100.0;0.0;-100.0
UBS 3 PARANOA PARQUE;0001906240;ESB 1 PARANOA PARQUE;158.82;0.0;0.0;-100.0;0.0;-100.0
UBS 10 CEILANDIA;0002156288;ESB 44;100.0;90.0;63.16;-10.0;-29.82;-36.84
UBS 01 GUARA;0002117339;ESB 03 UBS 01 GUARA;162.5;300.0;66.67;84.62;-77.78;-58.97
UBS 8 PADDF PARANOA;0001909797;ESB PADDF;300.0;70.59;166.67;-76.47;136.11;-44.44
UBS 01 TAGUATINGA;0001918508;ESB 03 - UBS 01 TAG;116.67;145.45;0.0;24.67;-100.0;-100.0
UBS 8 TORRE DE BRAZLANDIA;0002018586;ESB 6;42.86;33.33;271.43;-22.24;714.37;533.29
UBS 08 RECANTO DAS EMAS SAO FRANCISCO;0002536943;ESB 01 - UBS 08 REC;0.0;0.0;200.0;0.0;100.0;100.0
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;88.89;66.67;133.33;-25.0;99.99;49.99
UBS 4 PLANALTINA;0002062925;ESB VALERIANA;66.67;0.0;100.0;-100.0;100.0;49.99
UBS 4 PLANALTINA;0002062968;ESB MARCELA;62.5;50.0;40.0;-20.0;-20.0;-36.0
UBS 2 CATINGUEIRO FERCAL;0002062569;ESB BALSAMO;100.0;550.0;1300.0;450.0;136.36;1200.0
UBS 02 RIACHO FUNDO I;0002117886;ESB 01 UBS 02 RIACHO FUNDO I;60.0;75.0;60.0;25.0;-20.0;0.0
UBS 04 GUARA;0002171708;ESB 01 UBS 04 GUARA;72.73;60.0;100.0;-17.5;66.67;37.49
UBS 01 ESTRUTURAL;0002117606;ESB 01 UBS 01 ESTRUTURAL;50.0;0.0;0.0;-100.0;0.0;-100.0
UBS 1 ASA SUL;0002203049;ESB ROSA;41.67;90.0;160.0;115.98;77.78;283.97
UBS 12 SAMAMBAIA;0001924796;ESB 02 - UBS 12 SAM;0.0;25.0;0.0;100.0;-100.0;0.0
UBS 7 CEILANDIA;0002018969;ESB 23;95.83;80.0;350.0;-16.52;337.5;265.23
UBS 07 SAMAMBAIA;0001924540;ESB 02 - UBS 07 SAM;130.0;85.71;600.0;-34.07;600.04;361.54
UBS 04 RECANTO DAS EMAS;0001925733;ESB 03 - UBS 04 REC;63.64;250.0;0.0;292.83;-100.0;-100.0
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0001910485;ESB BOSQUE 1 SSB;122.22;0.0;116.67;-100.0;100.0;-4.54
UBS 17 JARDIM MORUMBI PLANALTINA;0002063085;ESB JARDIM MORUMBI;60.0;0.0;100.0;-100.0;100.0;66.67
UBS 01 RIACHO FUNDO II;0002117908;ESB 03 UBS 01 RIACHO FUNDO II;116.67;0.0;240.0;-100.0;100.0;105.71
UBS 2 SOBRADINHO;0002062658;ESB OPALA;93.33;60.0;66.67;-35.71;11.12;-28.57
UBS 01 TAGUATINGA;0001918389;ESB 01 - UBS 01 TAG;140.0;112.5;114.81;-19.64;2.05;-17.99
UBS 1 JARDINS MANGUEIRAL;0001910264;ESB 2 JARDINS MANGUEIRAL;150.0;200.0;57.14;33.33;-71.43;-61.91
UBS 5 BASEVI SOBRADINHO;0002062712;ESB BASEVI;50.0;80.0;66.67;60.0;-16.66;33.34
UBS 03 SAMAMBAIA;0001923803;ESB 01 - UBS 03 SAM;214.29;1800.0;766.67;739.98;-57.41;257.77
UBS 02 TAGUATINGA;0002064030;ESB 04 - UBS 02 TAG;220.0;160.0;0.0;-27.27;-100.0;-100.0
